observation_time,icao,temperature_k,dewpoint_k,wind_speed_mps,sfc_press_pa,cloud_cover
2021-06-04 23:00:00,KHLC,305.14999977777785,285.24999977777776,6.1736224,93341.19,
2021-06-05 00:00:00,KHLC,305.14999977777785,285.24999977777776,4.6313344,93341.19,
2021-06-05 01:00:00,KHLC,303.14999977777785,287.21111088888887,3.0890464,93309.97,
2021-06-05 02:00:00,KHLC,301.14999977777785,288.1777775555556,3.0890464,93309.97,
2021-06-05 03:00:00,KHLC,298.14999977777785,289.14999977777785,3.0890464,93309.97,
2021-06-05 04:00:00,KHLC,296.14999977777785,289.1388886666667,2.57048,93341.19,
2021-06-05 05:00:00,KHLC,295.14999977777785,289.12777755555555,2.57048,93372.42,
2021-06-05 07:00:00,KHLC,294.24999977777776,287.5277775555556,,93309.97,
2021-06-05 08:00:00,KHLC,294.14999977777785,287.122222,2.57048,93278.74,
2021-06-05 09:00:00,KHLC,292.14999977777785,287.122222,0.0,93278.74,
2021-06-05 10:00:00,KHLC,292.14999977777785,287.122222,2.57048,93278.74,
2021-06-05 11:00:00,KHLC,292.14999977777785,287.122222,2.57048,93278.74,43.75
2021-06-05 12:00:00,KHLC,292.14999977777785,287.122222,4.6313344,93247.51,43.75
2021-06-05 13:00:00,KHLC,294.14999977777785,288.12777755555555,2.056384,93278.74,
2021-06-05 14:00:00,KHLC,296.14999977777785,288.12777755555555,3.0890464,93247.51,
2021-06-05 15:00:00,KHLC,299.14999977777785,288.14999977777785,5.1454304,93247.51,
2021-06-05 16:00:00,KHLC,301.14999977777785,288.1777775555556,6.6877184000000005,93216.28,
2021-06-05 17:00:00,KHLC,302.14999977777785,288.1888886666667,6.1736224,93216.28,
2021-06-05 18:00:00,KHLC,304.14999977777785,287.22222200000004,7.2018144,93185.05,
2021-06-05 19:00:00,KHLC,305.14999977777785,287.23888866666664,7.2018144,93153.82,
2021-06-05 20:00:00,KHLC,305.14999977777785,287.23888866666664,7.7159104,93153.82,
2021-06-05 21:00:00,KHLC,305.14999977777785,287.23888866666664,6.6877184000000005,93091.37,
2021-06-05 22:00:00,KHLC,305.14999977777785,287.23888866666664,8.2300064,93060.14,
2021-06-05 23:00:00,KHLC,305.14999977777785,288.23888866666664,6.6877184000000005,92997.68,43.75
2021-06-06 00:00:00,KHLC,304.14999977777785,287.22222200000004,6.1736224,92966.45,
2021-06-06 01:00:00,KHLC,302.14999977777785,288.1888886666667,6.6877184000000005,92966.45,
2021-06-06 02:00:00,KHLC,300.14999977777785,288.1611108888889,6.1736224,92997.68,
2021-06-06 03:00:00,KHLC,297.14999977777785,287.1388886666667,4.6313344,93028.91,
