pt,model_run,fcst_time,fcst_dt,sfc_air_temperature,sfc_dewpoint,v_wind_10m,u_wind_10m,sfc_pressure,sea_level_pressure,cloud_cover
KBOS,2021-06-27 00:00:00 UTC,2021-07-08 21:00:00 UTC,285.0,19.43000030517578,15.75,-3.7200000286102295,-2.049999952316284,1018.2899780273438,919.8400268554688,84.0
KBOS,2021-06-27 00:00:00 UTC,2021-07-09 18:00:00 UTC,306.0,21.399999618530273,14.350000381469727,-4.840000152587891,-1.440000057220459,1016.1500244140624,918.5399780273436,15.300000190734865
KBOS,2021-06-27 00:00:00 UTC,2021-06-30 01:00:00 UTC,73.0,15.859999656677244,6.559999942779541,-2.0,0.10000000149011612,1017.3900146484376,918.0700073242189,9.5
KBOS,2021-06-27 00:00:00 UTC,2021-06-30 19:00:00 UTC,91.0,23.88999938964844,7.150000095367432,0.5699999928474426,0.9100000262260436,1014.5900268554688,917.280029296875,0.0
KBOS,2021-06-27 00:00:00 UTC,2021-07-01 09:00:00 UTC,105.0,19.850000381469727,12.350000381469727,1.8899999856948853,-0.6399999856948853,1017.1799926757812,919.219970703125,70.69999694824219
KBOS,2021-06-27 00:00:00 UTC,2021-07-01 17:00:00 UTC,113.0,26.649999618530273,7.849999904632568,1.0499999523162842,1.149999976158142,1012.9099731445312,916.4099731445312,80.69999694824219
KBOS,2021-06-27 00:00:00 UTC,2021-07-01 18:00:00 UTC,114.0,26.79999923706055,7.849999904632568,1.809999942779541,0.8500000238418579,1012.760009765625,916.260009765625,68.30000305175781
KBOS,2021-06-27 00:00:00 UTC,2021-06-29 23:00:00 UTC,71.0,17.340000152587894,6.949999809265137,-1.4900000095367432,0.8799999952316285,1017.3200073242188,918.3400268554688,2.299999952316284
KBOS,2021-06-27 00:00:00 UTC,2021-06-28 12:00:00 UTC,36.0,20.809999465942386,9.020000457763674,3.8599998950958248,2.3599998950958248,1013.739990234375,916.219970703125,67.80000305175781
KBOS,2021-06-27 00:00:00 UTC,2021-06-28 19:00:00 UTC,43.0,20.65999984741211,5.150000095367432,-0.2800000011920929,1.7899999618530271,1013.97998046875,916.0700073242189,6.5
KBOS,2021-06-27 00:00:00 UTC,2021-06-29 01:00:00 UTC,49.0,16.049999237060547,6.630000114440918,-1.7300000190734863,0.6700000166893005,1016.5499877929688,917.3599853515624,0.0
KBOS,2021-06-27 00:00:00 UTC,2021-06-29 06:00:00 UTC,54.0,15.100000381469727,7.349999904632568,-1.8400000333786009,0.8399999737739563,1016.719970703125,917.5900268554688,2.5999999046325684
KBOS,2021-06-27 00:00:00 UTC,2021-07-12 15:00:00 UTC,375.0,22.54999923706055,15.050000190734865,1.5,0.119999997317791,1017.4199829101562,919.989990234375,66.59999847412111
KBOS,2021-06-27 00:00:00 UTC,2021-07-05 21:00:00 UTC,213.0,19.819999694824215,11.5,-5.070000171661377,-1.3799999952316284,1018.1099853515624,919.8400268554688,3.299999952316284
KBOS,2021-06-27 00:00:00 UTC,2021-07-01 02:00:00 UTC,98.0,16.739999771118164,11.050000190734863,-1.4500000476837158,0.12999999523162842,1018.219970703125,919.219970703125,10.0
KBOS,2021-06-27 00:00:00 UTC,2021-07-01 05:00:00 UTC,101.0,15.949999809265135,10.600000381469727,-1.4199999570846558,0.1899999976158142,1018.4000244140624,919.2100219726561,7.199999809265137
KBOS,2021-06-27 00:00:00 UTC,2021-06-29 07:00:00 UTC,55.0,16.620000839233402,7.050000190734863,-0.8299999833106994,0.7799999713897706,1016.5800170898438,917.8900146484376,0.8000000119209291
KBOS,2021-06-27 00:00:00 UTC,2021-07-04 12:00:00 UTC,180.0,25.13999938964844,1.309999942779541,0.8399999737739563,2.759999990463257,1013.3200073242188,916.5,0.10000000149011612
KBOS,2021-06-27 00:00:00 UTC,2021-06-27 07:00:00 UTC,7.0,17.5,12.270000457763672,-0.3899999856948853,-1.4299999475479126,1013.3200073242188,915.1500244140624,29.79999923706055
KBOS,2021-06-27 00:00:00 UTC,2021-06-29 03:00:00 UTC,51.0,15.739999771118164,6.650000095367432,-2.180000066757202,1.0,1016.4099731445312,917.1300048828124,1.899999976158142
KBOS,2021-06-27 00:00:00 UTC,2021-06-29 17:00:00 UTC,65.0,22.280000686645508,4.199999809265137,-1.149999976158142,3.809999942779541,1013.780029296875,916.4000244140624,7.900000095367431
KBOS,2021-06-27 00:00:00 UTC,2021-07-08 18:00:00 UTC,282.0,27.04999923706055,12.75,7.079999923706056,0.9300000071525572,1013.22998046875,916.8200073242189,12.800000190734865
KBOS,2021-06-27 00:00:00 UTC,2021-07-11 18:00:00 UTC,354.0,30.09000015258789,11.140000343322754,3.4200000762939453,-2.5199999809265137,1014.5599975585938,918.5800170898434,21.299999237060547
KBOS,2021-06-27 00:00:00 UTC,2021-07-06 03:00:00 UTC,219.0,16.579999923706055,8.510000228881836,-2.9100000858306885,0.059999998658895486,1019.4299926757812,920.1599731445312,0.0
KBOS,2021-06-27 00:00:00 UTC,2021-07-06 09:00:00 UTC,225.0,21.049999237060547,7.199999809265137,1.0800000429153442,-0.10000000149011612,1018.7899780273438,920.8599853515624,0.0
KBOS,2021-06-27 00:00:00 UTC,2021-06-30 00:00:00 UTC,72.0,16.549999237060547,6.550000190734863,-1.5700000524520874,0.4600000083446503,1017.3599853515624,918.25,10.800000190734863
KBOS,2021-06-27 00:00:00 UTC,2021-07-01 20:00:00 UTC,116.0,22.319999694824215,12.75,2.309999942779541,0.9300000071525572,1014.969970703125,917.3200073242189,42.099998474121094
KBOS,2021-06-27 00:00:00 UTC,2021-07-09 09:00:00 UTC,297.0,23.34000015258789,13.829999923706055,-0.959999978542328,-0.8399999737739563,1016.3400268554688,919.1300048828124,74.19999694824219
